budget_FLOPs,context_tokens,quality_family,Q0,minimum_supported_cost_FLOPs,scientific_status,ready_for_Q3,N_params_B,D_tokens_B,Q_score,conditional_loss,cost_FLOPs,budget_utilization,interval_95_lower,interval_95_upper,kkt_relative_violation,kkt_check_pass,active_set,budget_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,Q_lower_active,Q_upper_active,support_saturated,regime,converged_starts,failure,status
1e+20,32768,power,0.5,8.787520000000001e+18,conditional_B7_semi_synthetic,False,0.4881804389129505,10.000000000000007,0.9564393662967876,2.816118912359332,1.0000000000062559e+20,1.0000000000062559,2.7191616704444037,2.9235209529518476,1.3439551694607722e-10,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,19,,converged_feasible
1e+22,32768,power,0.5,8.787520000000001e+18,conditional_B7_semi_synthetic,False,4.4736123825185405,164.34545041531192,1.0,2.1972564189375317,1.0000000000008938e+22,1.0000000000008937,2.105634788065398,2.3008062109197853,2.7705267603878584e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,19,,converged_feasible
1e+24,32768,power,0.5,8.787520000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,9.297245519999998e+22,0.09297245519999998,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,32768,logarithmic,0.5,8.787520000000001e+18,conditional_B7_semi_synthetic,False,0.5237364931480587,12.84183347866411,1.0,2.739203078855951,1.0000000000032796e+20,1.0000000000032796,2.645222073575776,2.847654347316167,4.5571252925546065e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,32768,logarithmic,0.5,8.787520000000001e+18,conditional_B7_semi_synthetic,False,4.216210130144484,184.70329054836787,0.9999999999999998,2.1925619465898074,1.0000000000009244e+22,1.0000000000009244,2.101884619659459,2.295812373213592,7.205719929317376e-12,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,32768,logarithmic,0.5,8.787520000000001e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,9.088731816428437e+22,0.09088731816428437,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,49152,exponential,0.5,1.1081280000000002e+19,conditional_B7_semi_synthetic,False,0.4392268037556787,10.000000000000002,0.9638538675421301,2.829662275344408,1.0000000000008775e+20,1.0000000000008775,2.732391217048851,2.937125084862274,2.6088525708429933e-10,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,49152,exponential,0.5,1.1081280000000002e+19,conditional_B7_semi_synthetic,False,3.9149143413509115,151.95699513170533,0.9999999999999998,2.213490146570292,1.0000000000009523e+22,1.0000000000009523,2.121416959274251,2.3165520253622742,2.599044119325069e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,49152,exponential,0.5,1.1081280000000002e+19,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,1.1599399233941727e+23,0.11599399233941728,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,49152,power,0.5,1.1081280000000002e+19,conditional_B7_semi_synthetic,False,0.3954932364335728,10.000000000000002,0.9487818912801014,2.853970482498523,1.0000000000016882e+20,1.0000000000016882,2.7570294891965883,2.9616573017945886,4.848037574758094e-09,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,20,,converged_feasible
