budget_FLOPs,context_tokens,quality_family,loss_gap_to_best_cost_scenario,training_share,attention_share,quality_share
3e+23,49152,exponential,0.0,0.37150199877512446,0.608668874793164,0.019829126431711537
1e+24,49152,exponential,0.0,0.37150199877512446,0.608668874793164,0.019829126431711537
3e+19,49152,power,0.10791114829446125,0.314522392245203,0.5153134874545405,0.1701641203002564
1e+20,49152,power,0.07895129431039205,0.23729594185974315,0.3887856711430032,0.37391838699725366
3e+20,49152,power,0.03465927165299432,0.285088974290689,0.4670897754778649,0.24782125023144624
1e+21,49152,power,0.01751355719777603,0.3149468676606424,0.5160089479751966,0.16904418436416108
3e+21,49152,power,0.009126565705260159,0.3361310186614862,0.5507170609749791,0.11315192036353482
1e+22,49152,power,0.004361373514969458,0.3526715210683363,0.5778170201183622,0.0695114588133015
3e+22,49152,power,0.0021891737327344174,0.3626639285837035,0.5941885805915399,0.043147490824756655
1e+23,49152,power,0.0010172977973068598,0.36954999109891284,0.6054707054164589,0.024979303484628356
3e+23,49152,power,0.0,0.369867988954512,0.6059917131030725,0.02414029794241542
1e+24,49152,power,0.0,0.369867988954512,0.6059917131030725,0.02414029794241542
3e+19,49152,logarithmic,0.0,0.22586016687638177,0.3700492974102639,0.40409053571335435
1e+20,49152,logarithmic,0.0,0.3249829523433459,0.532452069119338,0.14256497853731606
3e+20,49152,logarithmic,0.0,0.3435437073361715,0.5628620100995835,0.09359428256424512
1e+21,49152,logarithmic,0.0,0.35757642716959176,0.5858532182746591,0.05657035455574916
3e+21,49152,logarithmic,0.0,0.36584505067971385,0.5994005310336432,0.03475441828664287
1e+22,49152,logarithmic,0.0,0.3714473534929264,0.6085793439628107,0.01997330254426288
3e+22,49152,logarithmic,0.0,0.37450321048056856,0.6135860600513634,0.011910729468068097
1e+23,49152,logarithmic,0.0,0.376475044560797,0.6168167130084098,0.006708242430793209
3e+23,49152,logarithmic,0.0,0.3766082153865172,0.6170349000892698,0.006356884524213011
1e+24,49152,logarithmic,0.0,0.3766082153865172,0.6170349000892698,0.006356884524213011
3e+19,65536,exponential,0.06684996613321958,0.2504118221446352,0.5470329725356938,0.20255520531967094
1e+20,65536,exponential,0.055946344846214746,0.22094744866278937,0.48266706651881874,0.2963854848183919
3e+20,65536,exponential,0.0256480883279413,0.24946602459634198,0.5449668462648624,0.20556712913879566
1e+21,65536,exponential,0.012774213536750345,0.27135080619088864,0.5927748811508692,0.1358743126582422
3e+21,65536,exponential,0.006587245747299519,0.28614590095011816,0.6250952588222315,0.08875884022765028
1e+22,65536,exponential,0.003121797392900305,0.2972396159926344,0.6493298491231095,0.053430534884256004
3e+22,65536,exponential,0.001559048466327262,0.3037359121372897,0.6635212245943138,0.032742863268396497
1e+23,65536,exponential,0.0007219437679175655,0.30811921417304466,0.6730966940014885,0.018784091825466823
3e+23,65536,exponential,0.0,0.30884130270590504,0.6746741204711398,0.016484576822955035
1e+24,65536,exponential,0.0,0.30884130270590504,0.6746741204711398,0.016484576822955035
3e+19,65536,power,0.10667324137916046,0.2634291270170138,0.5754697089395673,0.161101164043419
1e+20,65536,power,0.08153218636446757,0.1999890254811616,0.43688269246444683,0.36312828205439157
3e+20,65536,power,0.03308335961948172,0.2406465971864987,0.5257005131071459,0.23365288970635537
1e+21,65536,power,0.01661778573006334,0.26448864334766586,0.5777842576810877,0.1577270989712464
3e+21,65536,power,0.008622455188980194,0.2811365961479291,0.6141522655050227,0.10471113834704829
1e+22,65536,power,0.004106415266346808,0.29395868880896264,0.6421625543261393,0.06387875686489802
3e+22,65536,power,0.002056909871824608,0.30162217249543416,0.6589036898886924,0.039474137615873525
1e+23,65536,power,0.0009544569943087389,0.30686455566394016,0.6703558506663994,0.02277959366966051
3e+23,65536,power,0.0,0.30771118048651475,0.6722053308121411,0.02008348870134417
1e+24,65536,power,0.0,0.30771118048651475,0.6722053308121411,0.02008348870134417
3e+19,65536,logarithmic,0.0,0.18712615065106872,0.40878331363561465,0.4040905357133166
1e+20,65536,logarithmic,0.0,0.272405616957001,0.5950791504298005,0.13251523261319853
3e+20,65536,logarithmic,0.0,0.28690312536378537,0.6267494407947013,0.08634743384151325
1e+21,65536,logarithmic,0.0,0.29772852676233513,0.6503978909965465,0.05187358224111835
3e+21,65536,logarithmic,0.0,0.3040480080627892,0.664203008546765,0.03174898339044588
1e+22,65536,logarithmic,0.0,0.30830324900271044,0.6734987242213878,0.01819802677590178
3e+22,65536,logarithmic,0.0,0.3106150059440442,0.678548834318296,0.01083615973765986
1e+23,65536,logarithmic,0.0,0.31210312683722546,0.6817996840134803,0.006097189149294259
3e+23,65536,logarithmic,0.0,0.31236210801606223,0.6823654370313553,0.005272454952582393
1e+24,65536,logarithmic,0.0,0.31236210801606223,0.6823654370313553,0.005272454952582393
3e+19,131072,exponential,0.0029832148751349763,0.15244417392050413,0.6660387588036106,0.18151706727588526
1e+20,131072,exponential,0.06328216684605525,0.135315050722161,0.5912004776085028,0.2734844716693362
3e+20,131072,exponential,0.022324755531008655,0.154359565247938,0.6744072312059243,0.17123320354613764
1e+21,131072,exponential,0.010956119187320645,0.1657233642891666,0.7240564268036549,0.1102202089071785
3e+21,131072,exponential,0.005593219266181393,0.17309921819820107,0.7562820242558204,0.07061875754597861
1e+22,131072,exponential,0.00263075775515631,0.1784550817043438,0.7796821489717249,0.04186276932393121
3e+22,131072,exponential,0.001308014224559173,0.18151841311658115,0.7930660481338841,0.0254155387495347
1e+23,131072,exponential,0.0006038909131151904,0.1835539178035787,0.8019593038116888,0.014486778384732642
3e+23,131072,exponential,0.0,0.1844187468658189,0.8057377996398872,0.009843453494293797
1e+24,131072,exponential,0.0,0.1844187468658189,0.8057377996398872,0.009843453494293797
3e+19,131072,power,0.043498648205763324,0.1608853343826871,0.7029187516069189,0.13619591401039408
1e+20,131072,power,0.09257263256057069,0.12421979664695106,0.5427245728703056,0.33305563048274334
