policy,support,N_params_B,D_tokens_B,Q_score,lambda,eta,bridge_model,status,Loss,difference_from_baseline
equal_13,continuous_hull,1.0,100.0,0.5,1.0,0.4,exp_bridge,valid,2.2882343682865667,0.0
equal_13,continuous_hull,1.0,100.0,0.5,1.0,0.4,linear_bridge,valid,2.271858717229403,-0.016375651057163765
equal_13,continuous_hull,1.0,100.0,0.5,1.25,0.0,exp_bridge,valid,2.2233220980873587,-0.06491227019920798
equal_13,continuous_hull,1.0,100.0,0.5,1.25,0.0,linear_bridge,valid,2.19797421521778,-0.09026015306878676
equal_13,continuous_hull,1.0,100.0,0.5,1.25,0.1,exp_bridge,valid,2.2233220980873587,-0.06491227019920798
equal_13,continuous_hull,1.0,100.0,0.5,1.25,0.1,linear_bridge,valid,2.19797421521778,-0.09026015306878676
equal_13,continuous_hull,1.0,100.0,0.5,1.25,0.2,exp_bridge,valid,2.2233220980873587,-0.06491227019920798
equal_13,continuous_hull,1.0,100.0,0.5,1.25,0.2,linear_bridge,valid,2.19797421521778,-0.09026015306878676
equal_13,continuous_hull,1.0,100.0,0.5,1.25,0.4,exp_bridge,valid,2.2233220980873587,-0.06491227019920798
equal_13,continuous_hull,1.0,100.0,0.5,1.25,0.4,linear_bridge,valid,2.19797421521778,-0.09026015306878676
equal_13,continuous_hull,1.0,100.0,0.5,1.5,0.0,exp_bridge,valid,2.1602512488897805,-0.1279831193967862
equal_13,continuous_hull,1.0,100.0,0.5,1.5,0.0,linear_bridge,valid,2.1240897132061574,-0.16414465508040932
