rep,metric,orientation,global_rho
24,rps_lines_numerical_chars_fraction,1,0.0972784671670555
24,rps_doc_mean_word_length,-1,-0.19114409744854563
25,fineweb_edu,1,
25,fluency_en,1,
25,modernbert_cleanliness,1,
25,modernbert_readability,1,
25,modernbert_reasoning,1,
25,modernbert_professionalism,1,
25,dsir_books,-1,-0.31111837779048945
25,dsir_wiki,-1,-0.31189281105526206
25,dsir_math,-1,-0.30822427191969304
25,qurater,1,
25,ad_en,1,
25,rps_doc_word_count,1,0.3932274657545013
25,rps_doc_num_sentences,1,0.2835191125994954
25,rps_doc_unigram_entropy,1,0.36087286570774574
25,rps_doc_frac_unique_words,-1,-0.3923866025807453
25,rps_doc_frac_no_alph_words,-1,-0.10713693889303615
25,rps_doc_frac_chars_top_2gram,-1,-0.09108297450040842
25,rps_doc_frac_chars_top_3gram,1,0.05189873705201252
25,rps_lines_uppercase_letter_fraction,1,0.03220518975208965
25,rps_lines_ending_with_terminal_punctution_mark,1,0.049332933944678255
25,rps_lines_numerical_chars_fraction,1,0.10382758174935496
25,rps_doc_mean_word_length,-1,-0.2011409760016431
26,fineweb_edu,1,
26,fluency_en,1,
26,modernbert_cleanliness,1,
26,modernbert_readability,1,
26,modernbert_reasoning,1,
26,modernbert_professionalism,1,
26,dsir_books,-1,-0.30350694883934903
26,dsir_wiki,-1,-0.30412469154965727
26,dsir_math,-1,-0.2993019616919658
26,qurater,1,
26,ad_en,1,
26,rps_doc_word_count,1,0.3833716095670098
26,rps_doc_num_sentences,1,0.2822232267626318
26,rps_doc_unigram_entropy,1,0.3551401433033547
26,rps_doc_frac_unique_words,-1,-0.3764631535758186
26,rps_doc_frac_no_alph_words,-1,-0.10092216937446621
26,rps_doc_frac_chars_top_2gram,-1,-0.10171105479395319
26,rps_doc_frac_chars_top_3gram,1,0.04518075930828265
26,rps_lines_uppercase_letter_fraction,1,0.03078269587156641
26,rps_lines_ending_with_terminal_punctution_mark,1,0.04294243172943899
26,rps_lines_numerical_chars_fraction,1,0.1080935191199577
26,rps_doc_mean_word_length,-1,-0.19648146678827316
27,fineweb_edu,1,
27,fluency_en,1,
27,modernbert_cleanliness,1,
27,modernbert_readability,1,
27,modernbert_reasoning,1,
27,modernbert_professionalism,1,
27,dsir_books,-1,-0.312862603645495
27,dsir_wiki,-1,-0.3138601399777921
27,dsir_math,-1,-0.3101683154593392
27,qurater,1,
27,ad_en,1,
27,rps_doc_word_count,1,0.3958141220991877
27,rps_doc_num_sentences,1,0.2918447036318611
27,rps_doc_unigram_entropy,1,0.36434856048230185
27,rps_doc_frac_unique_words,-1,-0.38968821225257744
27,rps_doc_frac_no_alph_words,-1,-0.111076897963326
27,rps_doc_frac_chars_top_2gram,-1,-0.09491293391774908
27,rps_doc_frac_chars_top_3gram,1,0.043494641270512835
27,rps_lines_uppercase_letter_fraction,1,0.03631388870290591
27,rps_lines_ending_with_terminal_punctution_mark,1,0.05491894801804342
27,rps_lines_numerical_chars_fraction,1,0.1049875855167931
27,rps_doc_mean_word_length,-1,-0.20062476236185817
28,fineweb_edu,1,
28,fluency_en,1,
28,modernbert_cleanliness,1,
28,modernbert_readability,1,
28,modernbert_reasoning,1,
28,modernbert_professionalism,1,
28,dsir_books,-1,-0.29438442015588084
28,dsir_wiki,-1,-0.29547554394544007
28,dsir_math,-1,-0.2908906818875699
28,qurater,1,
28,ad_en,1,
28,rps_doc_word_count,1,0.3787464208242928
