target,domain_i,domain_j,gamma_full,fold_gamma_json,fold_min,fold_max,same_sign_fold_count,fold_count,alpha
pubmed_abstracts,pubmed_central,github,-2.1334235209678707,"[-1.9372381377098493,-1.8410383355040214,-2.033870496096427,-2.239175619767749,-1.6305476476706773]",-2.239175619767749,-1.6305476476706773,5,5,0.1
pubmed_abstracts,pubmed_central,pile_cc,-0.952402005548,"[-0.8180821200384509,-0.9247841223363665,-0.8023795140125349,-1.0114850588972764,-0.7698193228911246]",-1.0114850588972764,-0.7698193228911246,5,5,0.1
pubmed_abstracts,github,pile_cc,0.021308437990851574,"[-0.04009124774337714,-0.25990427983636183,-0.08330827444551013,0.003551191572520286,0.5557236744673032]",-0.25990427983636183,0.5557236744673032,2,5,0.1
uspto_backgrounds,freelaw,arxiv,0.18213678471022818,"[0.23730092858176852,0.05588535274996517,0.1248286565431675,0.38753361602991615,0.1905782331565699]",0.05588535274996517,0.38753361602991615,5,5,0.1
uspto_backgrounds,freelaw,pubmed_central,-0.5476967800320669,"[-0.5819254259494487,-0.6033457005144373,-0.6791170318161327,-0.3014184450010145,-0.29871329841072547]",-0.6791170318161327,-0.29871329841072547,5,5,0.1
uspto_backgrounds,freelaw,github,-1.001179609892875,"[-0.8206596349625592,-1.0254034354063661,-0.7511359271680286,-0.7383503424095773,-1.3148775751322566]",-1.3148775751322566,-0.7383503424095773,5,5,0.1
uspto_backgrounds,freelaw,pile_cc,-0.5400365286071072,"[-0.7516688007128526,-0.5095533793198015,-0.5549214654179363,-0.08299264100756447,-0.46908045778751867]",-0.7516688007128526,-0.08299264100756447,5,5,0.1
uspto_backgrounds,arxiv,pubmed_central,-0.2732927133029281,"[-0.10002277065312541,-0.37070322722719873,-0.26184657384129945,-0.13464972726678115,-0.3678255909931572]",-0.37070322722719873,-0.10002277065312541,5,5,0.1
uspto_backgrounds,arxiv,github,-0.8973319982313143,"[-0.9047963250656577,-0.7933920133051146,-0.7022768121851363,-0.8114420856890597,-0.7384427704217477]",-0.9047963250656577,-0.7022768121851363,5,5,0.1
uspto_backgrounds,arxiv,pile_cc,-0.5518222581103068,"[-0.46256180562065535,-0.6070138528087603,-0.41228383337982594,-0.4787358302387695,-0.5121425613745566]",-0.6070138528087603,-0.41228383337982594,5,5,0.1
uspto_backgrounds,pubmed_central,github,-1.1749891315395349,"[-0.8474574803945061,-1.0444860693162594,-1.0669195270847898,-1.3589814991842615,-1.0995186397450316]",-1.3589814991842615,-0.8474574803945061,5,5,0.1
uspto_backgrounds,pubmed_central,pile_cc,-0.5288609964298328,"[-0.5866840918554711,-0.43741207438873114,-0.3772431772858494,-0.47909550286979813,-0.5111875467495779]",-0.5866840918554711,-0.3772431772858494,5,5,0.1
uspto_backgrounds,github,pile_cc,-0.23143697461777155,"[-0.2615550120209017,-0.2687856267074484,-0.3053368352066073,-0.2007769879709243,0.058281902609319085]",-0.3053368352066073,0.058281902609319085,4,5,0.1
