scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
Q0_0p65,0.65,1.0,1.0,1e+22,8192,power,conditional_v8_fixed_policy_feasible,60,60,172,6.5555137919487185,199.21560182324464,0.6713607648391644,2.0935250594697634,1.0000000000000002e+22
Q0_0p65,0.65,1.0,1.0,1e+22,8192,logarithmic,conditional_v8_fixed_policy_feasible,60,60,172,6.543172517452482,199.8579613120177,0.6713607648391644,2.093420272007082,1e+22
Q0_0p65,0.65,1.0,1.0,1e+22,131072,exponential,conditional_v8_fixed_policy_feasible,60,60,172,3.186982680650957,97.33848564563716,0.6713607648391644,2.217356502338985,9.999999999999998e+21
Q0_0p65,0.65,1.0,1.0,1e+22,131072,power,conditional_v8_fixed_policy_feasible,60,60,172,3.189331076667117,97.21420810892599,0.6713607648391644,2.217407806113367,1e+22
Q0_0p65,0.65,1.0,1.0,1e+22,131072,logarithmic,conditional_v8_fixed_policy_feasible,60,60,172,3.1865020675180618,97.36395072154548,0.6713607648391644,2.217346004796448,1e+22
Q0_0p65,0.65,1.0,1.0,1e+24,2048,exponential,conditional_v8_fixed_policy_feasible,60,60,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3020897744441703e+22
Q0_0p65,0.65,1.0,1.0,1e+24,2048,power,conditional_v8_fixed_policy_feasible,60,60,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.303759643898869e+22
Q0_0p65,0.65,1.0,1.0,1e+24,2048,logarithmic,conditional_v8_fixed_policy_feasible,60,60,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3017482863391434e+22
Q0_0p65,0.65,1.0,1.0,1e+24,8192,exponential,conditional_v8_fixed_policy_feasible,60,60,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.743040618662538e+22
Q0_0p65,0.65,1.0,1.0,1e+24,8192,power,conditional_v8_fixed_policy_feasible,60,60,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.744710488117237e+22
Q0_0p65,0.65,1.0,1.0,1e+24,8192,logarithmic,conditional_v8_fixed_policy_feasible,60,60,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.7426991305575113e+22
Q0_0p65,0.65,1.0,1.0,1e+24,131072,exponential,conditional_v8_fixed_policy_feasible,60,60,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1562057503029898e+23
Q0_0p65,0.65,1.0,1.0,1e+24,131072,power,conditional_v8_fixed_policy_feasible,60,60,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1563727372484597e+23
